id,title,source_url,final_url,domain,department,published_at,updated_at,crawled_at,category_hint,access_level,source_mode,dataset_origin,source_markdown_path,content_length,content_hash
THU000080,人才培养与交流-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz/rcpyyjl.htm,https://www.tsinghua.edu.cn/hzjl/gnhz/rcpyyjl.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:49+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000080_人才培养与交流-清华大学.md,4206,4c569020a3bffb716699eb32193f2b491138be109183a02f93b0331a8afba20e
THU000081,终身教育-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz/zsjy.htm,https://www.tsinghua.edu.cn/hzjl/gnhz/zsjy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:50+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000081_终身教育-清华大学.md,1027,70f698055627d1f2acd94e2c3fe904fb55fd6f8eba9924d42615ad7c4ba43ad4
THU000082,战略咨询与智库-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz/zlzxyzk.htm,https://www.tsinghua.edu.cn/hzjl/gnhz/zlzxyzk.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:52+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000082_战略咨询与智库-清华大学.md,926,9dd903c2f9083d504c9662136f1eb463326daf6dcf3cb3c18a8e21e8b230614b
THU000083,校地合作研究院-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz/xdhzyjy.htm,https://www.tsinghua.edu.cn/hzjl/gnhz/xdhzyjy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:54+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000083_校地合作研究院-清华大学.md,935,54eb3f6a599abb0d01d78f7ab827fdf1fff4625961ccc8ecb1fa427db333023e
THU000084,对口支援与定点帮扶-清华大学,https://www.tsinghua.edu.cn/hzjl/gnhz/dkzyyddbf.htm,https://www.tsinghua.edu.cn/hzjl/gnhz/dkzyyddbf.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:55+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000084_对口支援与定点帮扶-清华大学.md,1501,092001512fd32f8606888536874c6f35471221c588217feb57303e6dae410455
THU000085,全球战略-清华大学,https://www.tsinghua.edu.cn/hzjl/gjhz/qqzl1.htm,https://www.tsinghua.edu.cn/hzjl/gjhz/qqzl1.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:57+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000085_全球战略-清华大学.md,3598,ac8def85831b096e9c6073432f3e6c91603ecdc03146639e8330e932eac83c4e
THU000086,全球胜任力-清华大学,https://www.tsinghua.edu.cn/hzjl/gjhz/qqsrl1.htm,https://www.tsinghua.edu.cn/hzjl/gjhz/qqsrl1.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:20:59+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000086_全球胜任力-清华大学.md,1064,52e983ad245a30249c13c67003a4ea6eab165acb074f597a3d48a75f41ebe7a0
THU000087,国际学生学者-清华大学,https://www.tsinghua.edu.cn/hzjl/gjhz/gjxsxz1.htm,https://www.tsinghua.edu.cn/hzjl/gjhz/gjxsxz1.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:00+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000087_国际学生学者-清华大学.md,972,291989702e15c920562cf1860794c0d41073c73b452ca9d5668986a5e8843416
THU000088,国际校园-清华大学,https://www.tsinghua.edu.cn/hzjl/gjhz/gjxy.htm,https://www.tsinghua.edu.cn/hzjl/gjhz/gjxy.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:02+08:00,校园相关,public,public_web,public,knowledge/01_raw_public/THU000088_国际校园-清华大学.md,867,3a04d7c4cc3474e77855cfbbe84f1ec1de333968ee0ad54f92af22f3c3f9feee
THU000089,暑期学校-清华大学,https://www.tsinghua.edu.cn/hzjl/gjhz/sqxx.htm,https://www.tsinghua.edu.cn/hzjl/gjhz/sqxx.htm,www.tsinghua.edu.cn,,,,2026-08-09T19:21:03+08:00,校园办事,public,public_web,public,knowledge/01_raw_public/THU000089_暑期学校-清华大学.md,2358,25202122c9d5fafb4b0bd5f1723fd37ab3d1fa2c71f02914afc0f622be3365db
